Tag,Cluster
thought-provoking,5
amazing artwork,81
end of the world,45
mecha,35
gintama,90
remaster,6
space epic,37
cult film,4
dreamlike,92
hallucinatory,26
psychological,11
sentimental,11
memory,32
cinematography,87
india,11
oldie but goodie,65
big wave,65
surfing,37
ummarti2006,7
high school,6
notable nudity,60
moldy,60
old,83
moving,52
a clever chef rat,26
hope,11
mathematics,54
zombies,25
depressing,92
stupid,87
favelas,49
narrated,10
reciprocal spectator,65
documentary,25
henry darger,7
the catholic church is the most corrupt organization in history,23
childish naivity,57
friendship,14
bechdel test:fail,90
cartoon,37
children,20
computer animation,22
divorce,91
dreams,49
narrative pisstake,20
american idolatry,49
coen brothers,32
jeff bridges,26
matt damon,83
celebrity fetishism,63
mediacentralism,4
system holism,49
city politics,15
italy,45
political right versus left,47
creature feature,11
music industry,56
remix culture,34
film history,87
poetic,54
representation of children,43
disney animated feature,63
oscar (best music - original score),70
awesome,32
british comedy,69
knights,61
highschool,99
cult,11
boksdrama,21
stiller,2
wapendrama,57
sisters,72
robots and androids,23
post-college,27
restaurant,76
transvestite,20
paul rudd,24
quotable,49
seen more than once,34
amazing cinematography,97
shakespeare,98
updated classics,38
bruce willis,22
ghosts,61
android(s)/cyborg(s),6
artificial intelligence,49
bittersweet,33
steven spielberg,83
bette davis,87
oscar (best actress),95
lesbian subtext,47
undercover cop,7
christian bale,98
casey affleck,13
twist,12
ending,74
morgan freeman,12
political commentary,69
afghanistan,72
american propaganda,95
assassination,29
military,33
terrorism,35
tricky,12
addiction,79
heroin,78
mark wahlberg,63
nudity (full frontal),53
cynical,32
independent film,75
space adventure,26
psychedelic,30
tarantino,11
apocalypse,11
arnold schwarzenegger,33
nuclear war,72
based on a true story,11
kidnapping,52
steve buscemi,43
edward norton,58
freedom of expression,55
monty python,44
emotional,13
jack nicholson,87
archaeology,30
indiana jones,36
aliens,83
horror,90
space craft,0
space travel,32
alfred hitchcock,3
suspenseful,0
tense,35
special effects,93
masterpiece,0
stanley kubrick,3
juliette lewis,30
robert de niro,23
plot twist,83
mental illness,20
paranoid,37
goofy,15
creepy,99
paranoia,60
scary,45
snl,60
nicolas cage,98
martial arts,47
adult humor,13
free speech,82
parody,76
south park,44
trey parker,17
obsession,78
secrets,89
serial killer,24
asylum,60
brittany murphy,81
mental hospital,25
winona ryder,60
claustrophobic,50
stephen king,30
scifi cult,73
david bowie,75
mindless one liners,44
jake gyllenhaal,34
high fantasy,87
mythology,17
wizards,47
samurai,28
rob zombie,5
powerful ending,26
schizophrenia,33
lesbian,11
modern war,53
based on a play,63
insanity,61
ptsd,5
claymation,80
dark fairy tale,70
psychological thriller,34
stranded,46
alter ego,5
illusions,60
overcomplicated,73
stupid ending,4
absorbing,55
acting,11
morality,12
uplifting,32
too long,15
metaphorical,34
annoying,11
myth,99
cambodia,21
crime,36
human rights,63
procedural,63
game,18
pregnancy,3
remake,4
president,13
jane austen,41
hollywood,5
alcoholism,72
in netflix queue,72
teacher,31
animal movie,18
pigs,1
death penalty,11
nun,13
twins,18
emma,72
south africa,72
england,15
journalism,64
heist,18
adoption,0
prostitution,64
writing,86
jekyll and hyde,13
theater,63
golf,87
muppets,72
scotland,64
dating,21
moon,68
nasa,7
michael crichton,16
submarine,86
computers,58
made me cry,55
generation x,94
school,80
ireland,5
movie business,72
basketball,68
france,16
infertility,18
australia,12
beethoven,86
einstein,89
court,9
darth vader,5
luke skywalker,35
space opera,49
louisa may alcott,18
girl power,64
christmas,16
prison,8
disability,68
hit men,36
tv,36
death,36
marriage,87
wrongful imprisonment,53
enterprise,36
coma,36
weddings,36
cross dressing,36
men in drag,36
remade,88
tom clancy,13
john grisham,36
interracial romance,80
shrimp,64
vietnam,36
gambling,2
bus,1
spies,18
edith wharton,36
horses,2
based on a tv show,58
hula hoop,87
biopic,18
dinosaur,36
japan,36
sexuality,80
aids,64
radio,5
show business,72
butler,72
housekeeper,36
racism,34
football,11
chess,99
c.s. lewis,16
large cast,1
race,2
empire state building,86
beat poetry,36
halloween,1
adolescence,58
american indians,58
native americans,36
hannibal lector,63
priest,1
babies,28
gulf war,36
spoof,96
bugs bunny,6
veterinarian,36
aardman,96
alcatraz,64
disaster,80
atomic bomb,8
drug abuse,2
adultery,18
capote,36
falling,36
voyeurism,5
screwball,2
brooch,36
mount rushmore,87
start of a beautiful friendship,80
statue,86
george bernard shaw,87
rich guy - poor girl,87
royalty,72
1900s,63
dorothy,36
toto,36
civil war,16
television,36
movies,72
rosebud,31
hal,86
mrs. dewinter,2
europe,1
war,1
amnesia,32
cold war,46
russia,45
swashbuckler,19
shangri-la,25
astaire and rogers,28
homeless,18
oil,21
nick and nora charles,78
leopard,97
fugitive,5
missionary,5
tennessee williams,75
hemingway,5
food,24
king arthur,64
nanny,64
rogers and hammerstein,18
anti-semitism,64
governess,72
fish,28
bible,57
religion,27
1920s,86
gangsters,16
dance,24
1960s,45
jim morrison,45
navy,88
1950s,63
aging,6
clousseau,6
boxing,5
i am your father,18
inigo montoya,86
six-fingered man,63
ark of the covenant,2
spaghetti western,24
middle east,1
brainwashing,5
harper lee,11
ferris wheel,85
venice,1
zither,36
norman bates,84
saturday night live,5
mozart,67
salieri,85
new york,9
the entertainer,5
may-december romance,69
shakespeare sort of,88
simon and garfunkel,39
pow,45
incest,13
cold,6
skiing,28
nazis,72
gunfight,38
hammett,63
heavy metal,13
mockumentary,10
holy grail,11
e. m. forster,63
baseball,36
